Deutsch,English
der Abschnitt,"section"
die Abfolge,"sequence"
der Akku,"battery"
die Alltagsroutine,"daily routine"
das Altenheim,"retirement home"
die Angabe,"information/statement"
das Anzeigeprogramm,"display program"
die Bekanntschaft,"acquaintance"
der Bildschirm,"screen/monitor"
die Bibliothek,"library"
der Campingplatz,"campsite"
die Chance,"chance/opportunity"
das Computerspiel,"computer game"
der Erfolg,"success"
der Fall,"case/fall"
der Fernseher,"television"
der Film,"movie/film"
die Forschung,"research"
die Freiheit,"freedom"
das Fernsehprogramm,"TV program"
die Freundlichkeit,"kindness"
der Gedanke,"thought/idea"
die Geduld,"patience"
das Gehirn,"brain"
der Geldschein,"banknote"
die Gesellschaft,"society"
der Getränkeautomat,"vending machine"
die Konsequenz,"consequence"
die Kraft,"strength/power"
der/die Kranke,"sick person/patient"
der Kuli,"pen"
die Lebenserwartung,"life expectancy"
der Lebensrhythmus,"rhythm of life"
die Lebenszeit,"lifetime"
die Menschheit,"humanity"
der Mitarbeiter,"employee/colleague"
das Mobiltelefon,"mobile phone"
das Modenagazin,"fashion magazine"
die Münze,"coin"
der Nachteil,"disadvantage"
die Person,"person"
der Pfeffer,"pepper"
die Pille,"pill"
der Pilz,"mushroom"
das Projekt,"project"
die Regel,"rule"
die Reihenfolge,"sequence/order"
der Reisprospekt,"travel brochure"
die Rente,"pension/retirement"
die Sahne,"cream"
die Scheidung,"divorce"
die Schönheit,"beauty"
der Skiläufer,"skier"
der Sonnenschirm,"parasol/sun umbrella"
das Sportprogramm,"sports program"
das Studio,"studio"
die Tabelle,"table/chart"
die Tablette,"tablet"
der Tod,"death"
die Überbevölkerung,"overpopulation"
die Ungerechtigkeit,"injustice"
die Ursache,"cause/reason"
die Vorstellung,"idea/performance"
der Vorteil,"advantage"
der Wissenschaftler,"scientist"
die Zelle,"cell"
die Ziffer,"digit/number"
der Zustand,"condition/state"
sich aufregen,"to get excited/upset"
ausfallen,"to be cancelled"
aussehen,"to look/appear"
sich beschäftigen,"to occupy oneself"
darstellen,"to represent/portray"
einschlafen,"to fall asleep"
entwickeln,"to develop"
feststellen,"to determine/establish"
geboren werden,"to be born"
kennenlernen,"to get to know"
ordnen,"to organize/arrange"
pflegen,"to care for/maintain"
raten,"to advise/guess"
schaffen,"to create/manage"
steigen,"to climb/rise"
treiben,"to do/drive (sport)"
umbauen,"to rebuild/convert"
sich verändern,"to change"
verlassen,"to leave"
verleihen,"to lend/award"
werfen,"to throw"
zunehmen,"to increase/gain weight"
attraktiv,"attractive"
berufstätig,"employed/working"
biologisch,"biological"
dauernd,"constantly"
durchschnittlich,"average"
einschichtig,"single-layered"
endgültig,"final/definitive"
ernst,"serious"
faltig,"wrinkled"
genug,"enough"
immer mehr,"more and more"
jugendlich,"youthful"
künstlich,"artificial"
menschlich,"human"
offen,"open"
positiv,"positive"
regelmäßig,"regularly"
sogar,"even"
tierisch,"animal/terribly"
übrigens,"by the way"
unbedingt,"absolutely"
unglücklich,"unhappy"
unzufrieden,"dissatisfied"
vital,"vital/energetic"
"Ich nehme an, dass","I assume that"
"Ich bin der Meinung, dass","I am of the opinion that"
"Meiner Ansicht nach","In my view"
"Ich muss eine Entscheidung treffen","I have to make a decision"
"Was können Sie mir raten?","What can you advise me?"
"Dürfte ich Sie um einen Gefallen bitten?","May I ask you for a favor?"
"Aber gerne","With pleasure"
"Bitte sehr","You're welcome / Here you go"
"Keine Ursache","No problem / Don't mention it"
"Warten Sie, bis sie anruft","Wait until she calls"